User ID,Age Group,Gender,Preferred Shopping Website,Average Monthly Spend (INR),Device Used,Payment Method,Purchase Frequency,Return Rate (%),Most Purchased Category
U7403,19-30,Female,Flipkart,1000-5000,Mobile,Credit Card,Weekly,10%,Electronics
U1535,19-30,Male,Flipkart,1000-5000,Laptop,UPI,Daily,30%,Clothing
U1330,31-50,Female,Myntra,1000-5000,Mobile,Credit Card,Weekly,30%,Groceries
U4144,31-50,Male,Myntra,1000-5000,Mobile,Credit Card,Monthly,10%,Electronics
U8508,0-18,Male,Myntra,5000-10000,Tablet,Credit Card,Daily,10%,Clothing
U5955,31-50,Female,Flipkart,5000-10000,Laptop,Credit Card,Monthly,20%,Groceries
U1447,0-18,Female,Flipkart,5000-10000,Laptop,Credit Card,Weekly,10%,Groceries
U5374,31-50,Female,Myntra,1000-5000,Tablet,Cash on Delivery,Monthly,30%,Groceries
U2690,19-30,Male,Amazon,5000-10000,Laptop,Credit Card,Daily,20%,Groceries
U2898,31-50,Female,Amazon,1000-5000,Tablet,Cash on Delivery,Daily,20%,Electronics
U2702,19-30,Male,Amazon,1000-5000,Mobile,Credit Card,Weekly,10%,Electronics
U4941,0-18,Female,Myntra,10000+,Mobile,UPI,Daily,10%,Clothing
U5639,0-18,Female,Amazon,1000-5000,Mobile,Cash on Delivery,Monthly,30%,Electronics
U4606,31-50,Male,Myntra,5000-10000,Laptop,UPI,Monthly,20%,Groceries
U3071,19-30,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Weekly,20%,Groceries
U3331,31-50,Male,Flipkart,1000-5000,Laptop,Cash on Delivery,Weekly,10%,Groceries
U8916,19-30,Male,Myntra,10000+,Laptop,UPI,Weekly,20%,Electronics
U3726,0-18,Female,Flipkart,1000-5000,Tablet,UPI,Weekly,20%,Clothing
U5071,31-50,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Monthly,30%,Electronics
U1460,19-30,Male,Amazon,5000-10000,Mobile,UPI,Daily,20%,Electronics
U2856,0-18,Female,Amazon,1000-5000,Mobile,UPI,Weekly,30%,Groceries
U6921,31-50,Male,Flipkart,10000+,Laptop,UPI,Weekly,30%,Groceries
U5934,0-18,Male,Myntra,10000+,Laptop,UPI,Weekly,10%,Groceries
U3270,0-18,Male,Flipkart,1000-5000,Tablet,Cash on Delivery,Daily,20%,Groceries
U8858,31-50,Female,Flipkart,10000+,Mobile,UPI,Weekly,20%,Electronics
U7191,31-50,Male,Flipkart,1000-5000,Tablet,Cash on Delivery,Weekly,20%,Groceries
U1841,0-18,Male,Myntra,1000-5000,Laptop,Credit Card,Monthly,10%,Electronics
U9438,0-18,Female,Myntra,5000-10000,Laptop,UPI,Monthly,10%,Groceries
U8868,0-18,Female,Myntra,1000-5000,Laptop,UPI,Monthly,10%,Clothing
U6420,0-18,Male,Myntra,10000+,Laptop,Credit Card,Weekly,20%,Groceries
U9210,19-30,Female,Myntra,1000-5000,Laptop,UPI,Daily,30%,Clothing
U7313,0-18,Female,Myntra,10000+,Laptop,Credit Card,Daily,30%,Groceries
U8061,19-30,Male,Myntra,5000-10000,Mobile,Credit Card,Monthly,10%,Clothing
U3521,19-30,Female,Myntra,1000-5000,Tablet,Credit Card,Weekly,10%,Groceries
U6207,0-18,Male,Flipkart,1000-5000,Mobile,UPI,Monthly,20%,Electronics
U3352,0-18,Male,Flipkart,10000+,Mobile,Credit Card,Weekly,10%,Electronics
U4301,31-50,Female,Myntra,5000-10000,Laptop,Cash on Delivery,Weekly,30%,Electronics
U2539,19-30,Female,Amazon,1000-5000,Tablet,Cash on Delivery,Weekly,30%,Electronics
U3625,31-50,Male,Amazon,1000-5000,Tablet,Credit Card,Daily,20%,Groceries
U9388,0-18,Female,Flipkart,5000-10000,Mobile,UPI,Weekly,20%,Groceries
U9351,19-30,Male,Amazon,1000-5000,Laptop,UPI,Monthly,20%,Clothing
U4997,31-50,Male,Amazon,5000-10000,Laptop,Cash on Delivery,Monthly,10%,Clothing
U4525,19-30,Female,Flipkart,10000+,Laptop,Cash on Delivery,Monthly,10%,Clothing
U3808,0-18,Male,Myntra,5000-10000,Mobile,UPI,Weekly,20%,Clothing
U7143,31-50,Female,Amazon,1000-5000,Laptop,Credit Card,Weekly,20%,Electronics
U3799,31-50,Female,Amazon,1000-5000,Mobile,Cash on Delivery,Daily,30%,Clothing
U9739,31-50,Male,Amazon,1000-5000,Laptop,Credit Card,Daily,20%,Clothing
U1909,19-30,Male,Amazon,10000+,Mobile,UPI,Daily,10%,Electronics
U6564,0-18,Male,Amazon,10000+,Mobile,Credit Card,Weekly,30%,Groceries
U4068,31-50,Female,Myntra,10000+,Tablet,UPI,Monthly,30%,Electronics
U9830,19-30,Female,Flipkart,5000-10000,Mobile,Credit Card,Daily,10%,Groceries
U9109,31-50,Male,Myntra,1000-5000,Mobile,Cash on Delivery,Daily,30%,Electronics
U1441,0-18,Male,Flipkart,5000-10000,Mobile,Cash on Delivery,Daily,20%,Electronics
U4333,31-50,Male,Flipkart,10000+,Laptop,UPI,Weekly,10%,Groceries
U3998,0-18,Male,Myntra,5000-10000,Tablet,UPI,Daily,30%,Electronics
U6438,19-30,Male,Myntra,5000-10000,Laptop,UPI,Daily,20%,Electronics
U8027,31-50,Female,Myntra,10000+,Laptop,Credit Card,Weekly,10%,Electronics
U4829,31-50,Male,Flipkart,5000-10000,Tablet,Credit Card,Weekly,20%,Electronics
U8693,31-50,Female,Myntra,5000-10000,Laptop,Credit Card,Weekly,20%,Groceries
U7067,0-18,Male,Amazon,10000+,Laptop,Cash on Delivery,Daily,30%,Electronics
U3470,0-18,Male,Myntra,5000-10000,Mobile,UPI,Weekly,30%,Clothing
U4608,0-18,Female,Flipkart,1000-5000,Mobile,Credit Card,Weekly,30%,Groceries
U4331,19-30,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Daily,10%,Groceries
U9041,31-50,Female,Myntra,5000-10000,Tablet,Credit Card,Monthly,30%,Clothing
U8825,0-18,Female,Flipkart,5000-10000,Mobile,UPI,Weekly,20%,Groceries
U7735,0-18,Female,Flipkart,1000-5000,Laptop,UPI,Weekly,20%,Groceries
U1958,0-18,Female,Flipkart,1000-5000,Laptop,UPI,Weekly,10%,Electronics
U4124,19-30,Female,Myntra,1000-5000,Tablet,Cash on Delivery,Daily,10%,Electronics
U9920,19-30,Female,Flipkart,10000+,Mobile,Credit Card,Monthly,20%,Clothing
U5015,0-18,Male,Myntra,1000-5000,Tablet,Cash on Delivery,Daily,20%,Electronics
U2232,0-18,Male,Myntra,10000+,Mobile,Credit Card,Monthly,20%,Groceries
U6178,19-30,Female,Flipkart,5000-10000,Mobile,Cash on Delivery,Daily,30%,Clothing
U9918,31-50,Female,Amazon,10000+,Laptop,UPI,Weekly,20%,Clothing
U2485,19-30,Male,Amazon,5000-10000,Tablet,Cash on Delivery,Weekly,20%,Electronics
U5193,0-18,Female,Amazon,1000-5000,Laptop,Credit Card,Daily,10%,Electronics
U3015,31-50,Female,Amazon,5000-10000,Mobile,Cash on Delivery,Weekly,30%,Groceries
U1082,0-18,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Daily,10%,Groceries
U7283,19-30,Female,Flipkart,1000-5000,Laptop,Credit Card,Monthly,20%,Clothing
U2733,19-30,Female,Myntra,10000+,Mobile,UPI,Daily,30%,Clothing
U7015,0-18,Male,Flipkart,5000-10000,Laptop,Cash on Delivery,Weekly,20%,Clothing
U4465,31-50,Male,Flipkart,1000-5000,Laptop,Cash on Delivery,Daily,30%,Electronics
U2856,0-18,Male,Amazon,10000+,Laptop,Cash on Delivery,Weekly,20%,Groceries
U9651,19-30,Female,Amazon,5000-10000,Mobile,Credit Card,Monthly,20%,Clothing
U1498,0-18,Male,Amazon,10000+,Laptop,Credit Card,Weekly,30%,Clothing
U3379,19-30,Male,Flipkart,5000-10000,Tablet,Cash on Delivery,Monthly,20%,Groceries
U7625,31-50,Female,Myntra,5000-10000,Laptop,UPI,Weekly,30%,Electronics
U8155,0-18,Male,Myntra,1000-5000,Tablet,Credit Card,Daily,10%,Groceries
U3347,19-30,Male,Flipkart,5000-10000,Mobile,UPI,Weekly,10%,Electronics
U4690,19-30,Female,Amazon,1000-5000,Mobile,Credit Card,Monthly,30%,Groceries
U6878,19-30,Male,Flipkart,5000-10000,Laptop,UPI,Weekly,20%,Electronics
U9279,0-18,Female,Flipkart,10000+,Mobile,Credit Card,Weekly,10%,Electronics
U2670,19-30,Female,Amazon,1000-5000,Laptop,Credit Card,Monthly,30%,Electronics
U4673,0-18,Male,Flipkart,1000-5000,Mobile,UPI,Monthly,10%,Groceries
U6111,19-30,Female,Amazon,5000-10000,Mobile,Cash on Delivery,Daily,30%,Electronics
U6285,19-30,Male,Amazon,1000-5000,Tablet,Credit Card,Weekly,30%,Electronics
U8549,31-50,Female,Flipkart,5000-10000,Laptop,Credit Card,Daily,20%,Electronics
U8279,0-18,Female,Amazon,10000+,Laptop,Cash on Delivery,Weekly,20%,Clothing
U7314,31-50,Female,Flipkart,5000-10000,Mobile,Credit Card,Weekly,10%,Clothing
U5303,19-30,Male,Myntra,10000+,Tablet,Credit Card,Daily,20%,Groceries
U5756,0-18,Female,Myntra,10000+,Laptop,UPI,Monthly,20%,Clothing
U4397,31-50,Female,Flipkart,1000-5000,Mobile,Credit Card,Monthly,10%,Groceries
U8730,0-18,Male,Flipkart,1000-5000,Laptop,Cash on Delivery,Monthly,20%,Groceries
U1579,0-18,Female,Flipkart,1000-5000,Mobile,Credit Card,Weekly,20%,Electronics
U8724,19-30,Female,Myntra,10000+,Mobile,UPI,Daily,30%,Electronics
U5342,31-50,Female,Flipkart,10000+,Laptop,Cash on Delivery,Daily,20%,Electronics
U4925,19-30,Female,Amazon,10000+,Tablet,UPI,Weekly,10%,Clothing
U9505,31-50,Female,Flipkart,10000+,Laptop,Cash on Delivery,Monthly,30%,Electronics
U2628,19-30,Female,Flipkart,10000+,Laptop,Credit Card,Monthly,10%,Clothing
U9736,19-30,Male,Amazon,10000+,Laptop,Credit Card,Daily,20%,Electronics
U8213,0-18,Female,Flipkart,10000+,Tablet,UPI,Monthly,10%,Electronics
U8849,31-50,Male,Amazon,10000+,Laptop,Credit Card,Weekly,20%,Clothing
U7905,0-18,Male,Myntra,10000+,Tablet,Cash on Delivery,Monthly,20%,Electronics
U1633,19-30,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Daily,20%,Electronics
U2087,0-18,Female,Amazon,10000+,Laptop,Cash on Delivery,Daily,10%,Groceries
U7653,31-50,Male,Amazon,10000+,Laptop,Cash on Delivery,Weekly,30%,Clothing
U6641,31-50,Female,Amazon,1000-5000,Laptop,Cash on Delivery,Daily,10%,Clothing
U5430,19-30,Female,Myntra,10000+,Laptop,Credit Card,Weekly,30%,Groceries
U7497,19-30,Female,Amazon,1000-5000,Laptop,Cash on Delivery,Weekly,20%,Clothing
U5909,31-50,Male,Flipkart,1000-5000,Tablet,UPI,Weekly,10%,Electronics
U2274,0-18,Male,Amazon,1000-5000,Laptop,Cash on Delivery,Daily,10%,Electronics
U4657,31-50,Female,Amazon,10000+,Mobile,Credit Card,Weekly,10%,Electronics
U5545,0-18,Male,Flipkart,1000-5000,Laptop,Cash on Delivery,Weekly,20%,Clothing
U6519,0-18,Male,Flipkart,5000-10000,Mobile,UPI,Monthly,30%,Groceries
U3368,19-30,Male,Amazon,1000-5000,Tablet,Credit Card,Daily,10%,Groceries
U2221,0-18,Male,Amazon,1000-5000,Tablet,Cash on Delivery,Daily,20%,Clothing
U9620,31-50,Female,Myntra,1000-5000,Tablet,Cash on Delivery,Monthly,10%,Clothing
U5932,31-50,Female,Flipkart,10000+,Laptop,Cash on Delivery,Weekly,10%,Groceries
U1751,0-18,Female,Amazon,1000-5000,Tablet,Credit Card,Weekly,30%,Electronics
U4339,19-30,Male,Amazon,5000-10000,Laptop,Cash on Delivery,Daily,30%,Groceries
U9237,19-30,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Monthly,30%,Electronics
U8715,19-30,Female,Myntra,5000-10000,Mobile,Credit Card,Monthly,20%,Groceries
U8419,0-18,Male,Myntra,5000-10000,Mobile,Credit Card,Monthly,20%,Clothing
U5166,19-30,Female,Myntra,10000+,Mobile,UPI,Weekly,20%,Clothing
U2366,0-18,Female,Flipkart,5000-10000,Mobile,UPI,Weekly,20%,Clothing
U7851,19-30,Female,Flipkart,1000-5000,Laptop,Cash on Delivery,Monthly,20%,Electronics
U3883,19-30,Male,Flipkart,1000-5000,Mobile,Cash on Delivery,Daily,20%,Clothing
U4687,19-30,Female,Amazon,5000-10000,Laptop,UPI,Monthly,20%,Clothing
U2573,0-18,Female,Myntra,1000-5000,Laptop,Cash on Delivery,Daily,20%,Clothing
U3249,31-50,Male,Flipkart,1000-5000,Mobile,Cash on Delivery,Daily,30%,Clothing
U4292,19-30,Male,Flipkart,10000+,Mobile,UPI,Weekly,20%,Electronics
U8171,0-18,Male,Amazon,1000-5000,Tablet,Credit Card,Monthly,20%,Electronics
U6148,19-30,Male,Amazon,5000-10000,Mobile,Credit Card,Monthly,30%,Groceries
U7886,19-30,Female,Flipkart,1000-5000,Tablet,Credit Card,Daily,10%,Groceries
U3726,31-50,Male,Myntra,1000-5000,Tablet,Cash on Delivery,Weekly,10%,Groceries
U2179,19-30,Male,Flipkart,5000-10000,Mobile,Credit Card,Monthly,20%,Electronics
U2276,31-50,Female,Flipkart,1000-5000,Mobile,Credit Card,Monthly,30%,Groceries
U7268,31-50,Male,Flipkart,5000-10000,Mobile,UPI,Monthly,10%,Electronics
U8424,19-30,Female,Flipkart,5000-10000,Tablet,Cash on Delivery,Daily,30%,Clothing
U4216,19-30,Female,Flipkart,1000-5000,Laptop,Credit Card,Monthly,30%,Electronics
U8600,19-30,Male,Amazon,1000-5000,Mobile,Cash on Delivery,Daily,30%,Clothing
U8211,19-30,Female,Flipkart,1000-5000,Tablet,Cash on Delivery,Weekly,20%,Clothing
U6590,31-50,Female,Flipkart,1000-5000,Tablet,UPI,Weekly,20%,Electronics
U1579,0-18,Male,Amazon,5000-10000,Laptop,UPI,Daily,30%,Clothing
U6463,19-30,Female,Flipkart,10000+,Tablet,Cash on Delivery,Daily,30%,Groceries
U7465,19-30,Female,Amazon,10000+,Tablet,UPI,Monthly,30%,Electronics
U6442,31-50,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Monthly,10%,Electronics
U4604,31-50,Female,Flipkart,5000-10000,Laptop,Cash on Delivery,Daily,20%,Groceries
U8532,31-50,Male,Flipkart,10000+,Laptop,Credit Card,Monthly,20%,Electronics
U7322,31-50,Male,Myntra,10000+,Mobile,UPI,Daily,20%,Groceries
U1981,31-50,Male,Flipkart,10000+,Mobile,UPI,Weekly,20%,Groceries
U7510,19-30,Female,Amazon,5000-10000,Laptop,Credit Card,Weekly,20%,Groceries
U9143,19-30,Female,Flipkart,5000-10000,Tablet,UPI,Monthly,30%,Groceries
U2151,19-30,Female,Amazon,10000+,Tablet,Cash on Delivery,Daily,10%,Groceries
U1586,31-50,Female,Flipkart,1000-5000,Mobile,Credit Card,Monthly,10%,Electronics
U5878,31-50,Female,Amazon,1000-5000,Tablet,Credit Card,Daily,10%,Groceries
U9339,0-18,Female,Myntra,10000+,Tablet,Cash on Delivery,Daily,30%,Electronics
U1453,31-50,Female,Flipkart,10000+,Mobile,UPI,Daily,20%,Groceries
U9405,19-30,Female,Amazon,10000+,Mobile,UPI,Daily,10%,Electronics
U6965,0-18,Male,Flipkart,10000+,Tablet,UPI,Monthly,30%,Groceries
U1530,0-18,Male,Amazon,5000-10000,Laptop,UPI,Daily,10%,Groceries
U4734,31-50,Male,Amazon,10000+,Laptop,UPI,Weekly,20%,Groceries
U7992,19-30,Female,Amazon,5000-10000,Mobile,UPI,Daily,20%,Clothing
U6545,31-50,Female,Amazon,5000-10000,Laptop,Cash on Delivery,Monthly,10%,Clothing
U7334,19-30,Male,Flipkart,1000-5000,Laptop,Cash on Delivery,Weekly,20%,Clothing
U9797,31-50,Male,Amazon,10000+,Tablet,Credit Card,Weekly,10%,Groceries
U2934,0-18,Male,Flipkart,10000+,Laptop,UPI,Weekly,30%,Electronics
U3308,0-18,Male,Amazon,10000+,Tablet,Credit Card,Daily,30%,Groceries
U3803,19-30,Male,Flipkart,10000+,Mobile,Credit Card,Daily,10%,Electronics
U3212,19-30,Female,Myntra,1000-5000,Mobile,UPI,Weekly,10%,Electronics
U5566,19-30,Male,Myntra,5000-10000,Tablet,Cash on Delivery,Daily,10%,Clothing
U2200,19-30,Male,Amazon,1000-5000,Tablet,UPI,Monthly,10%,Clothing
U7504,0-18,Male,Flipkart,5000-10000,Tablet,Credit Card,Monthly,10%,Groceries
U4575,0-18,Male,Flipkart,5000-10000,Tablet,UPI,Weekly,10%,Electronics
U5582,19-30,Male,Myntra,10000+,Mobile,Credit Card,Monthly,30%,Groceries
U6443,0-18,Female,Flipkart,10000+,Laptop,UPI,Weekly,30%,Electronics
U3476,31-50,Male,Amazon,10000+,Tablet,UPI,Monthly,30%,Groceries
U5325,31-50,Male,Myntra,10000+,Laptop,Credit Card,Weekly,30%,Clothing
U3080,19-30,Female,Myntra,5000-10000,Tablet,Cash on Delivery,Monthly,10%,Clothing
U8297,19-30,Female,Flipkart,10000+,Tablet,UPI,Monthly,10%,Groceries
U7644,0-18,Male,Amazon,1000-5000,Tablet,Credit Card,Daily,20%,Electronics
U3885,0-18,Male,Myntra,10000+,Laptop,UPI,Daily,10%,Electronics
U4837,19-30,Female,Myntra,5000-10000,Tablet,Cash on Delivery,Weekly,20%,Electronics
U9821,0-18,Female,Myntra,5000-10000,Tablet,Credit Card,Weekly,10%,Electronics
U1910,31-50,Male,Myntra,5000-10000,Tablet,Credit Card,Daily,10%,Clothing
U9594,19-30,Male,Flipkart,5000-10000,Tablet,Cash on Delivery,Monthly,20%,Groceries
U3765,31-50,Female,Amazon,1000-5000,Laptop,UPI,Monthly,10%,Electronics
U1314,31-50,Female,Amazon,10000+,Tablet,UPI,Monthly,20%,Clothing
U8337,19-30,Male,Flipkart,1000-5000,Tablet,Cash on Delivery,Weekly,30%,Electronics
U8291,0-18,Female,Flipkart,5000-10000,Laptop,UPI,Weekly,30%,Electronics
U9774,0-18,Female,Myntra,1000-5000,Mobile,Credit Card,Daily,30%,Groceries
U8600,31-50,Male,Amazon,1000-5000,Mobile,Credit Card,Weekly,10%,Clothing
U2631,31-50,Male,Amazon,10000+,Tablet,Credit Card,Daily,30%,Clothing
U1641,19-30,Female,Flipkart,10000+,Mobile,Cash on Delivery,Weekly,10%,Clothing
U4071,31-50,Male,Amazon,1000-5000,Laptop,Cash on Delivery,Weekly,20%,Groceries
U2214,0-18,Female,Flipkart,10000+,Tablet,Cash on Delivery,Monthly,10%,Groceries
U9972,0-18,Female,Flipkart,10000+,Mobile,Credit Card,Daily,20%,Clothing
U7571,31-50,Female,Myntra,10000+,Mobile,Cash on Delivery,Daily,30%,Groceries
U2322,19-30,Male,Amazon,10000+,Laptop,Cash on Delivery,Daily,10%,Electronics
U1580,31-50,Female,Amazon,10000+,Laptop,UPI,Weekly,10%,Clothing
U4494,19-30,Female,Amazon,5000-10000,Tablet,UPI,Daily,30%,Groceries
U1277,0-18,Male,Flipkart,1000-5000,Laptop,Credit Card,Monthly,20%,Groceries
U9354,31-50,Female,Myntra,5000-10000,Laptop,Cash on Delivery,Weekly,10%,Electronics
U1783,0-18,Female,Flipkart,10000+,Tablet,UPI,Daily,10%,Clothing
U4632,0-18,Male,Flipkart,1000-5000,Tablet,Cash on Delivery,Weekly,20%,Groceries
U5300,19-30,Male,Flipkart,10000+,Tablet,UPI,Weekly,30%,Groceries
U2941,31-50,Female,Flipkart,1000-5000,Mobile,Credit Card,Weekly,20%,Electronics
U1120,0-18,Male,Flipkart,5000-10000,Tablet,Cash on Delivery,Daily,30%,Groceries
U3798,19-30,Male,Amazon,5000-10000,Laptop,Cash on Delivery,Weekly,20%,Groceries
U4084,31-50,Female,Flipkart,10000+,Laptop,Cash on Delivery,Daily,30%,Groceries
U7578,0-18,Female,Amazon,1000-5000,Mobile,Cash on Delivery,Daily,10%,Clothing
U9568,31-50,Male,Flipkart,5000-10000,Mobile,UPI,Weekly,30%,Electronics
U1483,19-30,Male,Flipkart,10000+,Tablet,Cash on Delivery,Daily,10%,Groceries
U4186,31-50,Male,Myntra,10000+,Mobile,UPI,Monthly,20%,Clothing
U5361,0-18,Male,Amazon,10000+,Laptop,Credit Card,Weekly,20%,Clothing
U9420,19-30,Female,Myntra,10000+,Mobile,Credit Card,Monthly,30%,Groceries
U9376,19-30,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Daily,30%,Electronics
U5942,19-30,Female,Amazon,10000+,Mobile,Cash on Delivery,Monthly,10%,Clothing
U4061,19-30,Female,Flipkart,10000+,Mobile,UPI,Monthly,10%,Electronics
U6484,0-18,Female,Myntra,5000-10000,Laptop,Credit Card,Daily,20%,Electronics
U6146,0-18,Male,Myntra,10000+,Laptop,UPI,Monthly,20%,Groceries
U7677,31-50,Female,Myntra,5000-10000,Mobile,Credit Card,Weekly,10%,Groceries
U2276,31-50,Female,Myntra,5000-10000,Tablet,Credit Card,Weekly,10%,Electronics
U2062,19-30,Male,Flipkart,10000+,Tablet,UPI,Daily,30%,Groceries
U4365,19-30,Male,Amazon,5000-10000,Mobile,Credit Card,Monthly,20%,Groceries
U8710,0-18,Male,Amazon,5000-10000,Mobile,Cash on Delivery,Weekly,20%,Electronics
U3535,31-50,Male,Flipkart,1000-5000,Laptop,UPI,Weekly,10%,Electronics
U7924,0-18,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Daily,20%,Groceries
U9046,31-50,Male,Amazon,1000-5000,Laptop,Credit Card,Daily,20%,Electronics
U8906,0-18,Male,Amazon,10000+,Mobile,Credit Card,Monthly,20%,Electronics
U7415,0-18,Female,Amazon,1000-5000,Tablet,UPI,Daily,20%,Groceries
U7099,0-18,Male,Myntra,1000-5000,Mobile,Credit Card,Daily,10%,Electronics
U8770,19-30,Female,Amazon,10000+,Laptop,Cash on Delivery,Daily,10%,Electronics
U6897,0-18,Female,Flipkart,5000-10000,Mobile,Cash on Delivery,Monthly,30%,Groceries
U3734,19-30,Male,Flipkart,10000+,Mobile,Credit Card,Daily,20%,Clothing
U4088,31-50,Male,Amazon,1000-5000,Mobile,UPI,Monthly,20%,Clothing
U7055,31-50,Male,Amazon,5000-10000,Laptop,Cash on Delivery,Weekly,10%,Groceries
U8684,0-18,Male,Amazon,1000-5000,Laptop,Cash on Delivery,Weekly,30%,Groceries
U6476,31-50,Female,Myntra,10000+,Mobile,Credit Card,Weekly,10%,Clothing
U2829,0-18,Male,Flipkart,5000-10000,Mobile,UPI,Weekly,20%,Electronics
U5818,19-30,Female,Myntra,10000+,Laptop,Cash on Delivery,Weekly,30%,Groceries
U1353,19-30,Female,Myntra,5000-10000,Mobile,UPI,Daily,30%,Groceries
U2640,0-18,Female,Myntra,1000-5000,Laptop,Cash on Delivery,Daily,10%,Groceries
U4268,31-50,Male,Flipkart,10000+,Tablet,Cash on Delivery,Weekly,10%,Clothing
U8957,0-18,Male,Flipkart,10000+,Tablet,UPI,Monthly,20%,Groceries
U9073,0-18,Female,Flipkart,5000-10000,Mobile,Credit Card,Daily,10%,Groceries
U1499,19-30,Male,Myntra,1000-5000,Laptop,Cash on Delivery,Monthly,10%,Groceries
U3900,19-30,Female,Flipkart,5000-10000,Laptop,Cash on Delivery,Weekly,30%,Clothing
U6014,31-50,Female,Amazon,10000+,Mobile,Cash on Delivery,Monthly,30%,Electronics
U4054,31-50,Female,Myntra,10000+,Laptop,Credit Card,Weekly,10%,Electronics
U6524,31-50,Female,Myntra,5000-10000,Tablet,UPI,Monthly,20%,Clothing
U5879,19-30,Female,Amazon,1000-5000,Mobile,Credit Card,Weekly,10%,Clothing
U5255,0-18,Female,Myntra,10000+,Mobile,UPI,Daily,20%,Electronics
U6172,19-30,Female,Myntra,10000+,Mobile,Cash on Delivery,Daily,10%,Electronics
U5460,31-50,Male,Amazon,10000+,Tablet,Cash on Delivery,Monthly,30%,Groceries
U8491,19-30,Female,Myntra,1000-5000,Laptop,Credit Card,Weekly,20%,Groceries
U6247,31-50,Female,Myntra,5000-10000,Tablet,Credit Card,Weekly,10%,Electronics
U9952,19-30,Male,Amazon,5000-10000,Mobile,Credit Card,Monthly,10%,Electronics
U1761,31-50,Male,Amazon,1000-5000,Laptop,Credit Card,Monthly,10%,Groceries
U9143,0-18,Female,Myntra,10000+,Laptop,UPI,Monthly,10%,Electronics
U9375,19-30,Female,Flipkart,10000+,Laptop,Credit Card,Monthly,20%,Clothing
U7805,19-30,Male,Amazon,1000-5000,Laptop,Credit Card,Monthly,30%,Electronics
U2378,0-18,Male,Amazon,1000-5000,Laptop,Credit Card,Daily,20%,Groceries
U9846,0-18,Female,Amazon,1000-5000,Laptop,UPI,Daily,20%,Electronics
U9123,31-50,Female,Amazon,10000+,Tablet,Credit Card,Weekly,30%,Electronics
U4670,0-18,Female,Myntra,1000-5000,Tablet,Credit Card,Daily,30%,Clothing
U2654,0-18,Female,Amazon,5000-10000,Mobile,Credit Card,Daily,10%,Clothing
U1094,31-50,Male,Amazon,5000-10000,Mobile,UPI,Weekly,30%,Electronics
U6309,31-50,Female,Flipkart,10000+,Mobile,UPI,Weekly,10%,Groceries
U1773,19-30,Female,Amazon,5000-10000,Tablet,Credit Card,Monthly,30%,Clothing
U6290,19-30,Female,Flipkart,10000+,Mobile,Credit Card,Daily,10%,Clothing
U3667,31-50,Male,Amazon,1000-5000,Mobile,Cash on Delivery,Weekly,30%,Groceries
U7923,31-50,Female,Myntra,5000-10000,Laptop,Credit Card,Weekly,20%,Clothing
U5088,19-30,Male,Amazon,10000+,Laptop,Credit Card,Weekly,10%,Clothing
U6092,19-30,Male,Flipkart,5000-10000,Laptop,Credit Card,Monthly,30%,Clothing
U6028,19-30,Male,Amazon,10000+,Tablet,Credit Card,Daily,20%,Groceries
U8648,19-30,Male,Myntra,10000+,Mobile,UPI,Weekly,30%,Electronics
U8798,31-50,Male,Flipkart,5000-10000,Laptop,Credit Card,Weekly,20%,Electronics
U9779,31-50,Male,Myntra,10000+,Tablet,Credit Card,Daily,30%,Clothing
U9620,31-50,Female,Amazon,1000-5000,Mobile,UPI,Monthly,30%,Clothing
U8280,0-18,Female,Myntra,10000+,Laptop,UPI,Daily,10%,Groceries
U3047,31-50,Male,Amazon,10000+,Tablet,Credit Card,Daily,20%,Clothing
U2584,31-50,Male,Amazon,5000-10000,Tablet,Cash on Delivery,Weekly,20%,Electronics
U2823,31-50,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Monthly,10%,Clothing
U7575,19-30,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Monthly,30%,Groceries
U4229,0-18,Female,Flipkart,10000+,Mobile,Credit Card,Weekly,10%,Electronics
U9230,31-50,Female,Myntra,1000-5000,Tablet,Cash on Delivery,Monthly,20%,Clothing
U1956,31-50,Female,Myntra,10000+,Tablet,UPI,Daily,20%,Groceries
U8678,31-50,Male,Amazon,10000+,Mobile,Credit Card,Weekly,20%,Groceries
U6616,19-30,Male,Amazon,5000-10000,Laptop,Cash on Delivery,Monthly,10%,Electronics
U2360,19-30,Male,Flipkart,5000-10000,Laptop,Credit Card,Monthly,10%,Groceries
U8561,19-30,Male,Flipkart,5000-10000,Mobile,Cash on Delivery,Monthly,20%,Clothing
U6089,0-18,Male,Myntra,5000-10000,Laptop,Credit Card,Monthly,10%,Groceries
U9190,19-30,Male,Myntra,5000-10000,Laptop,Cash on Delivery,Weekly,20%,Groceries
U8432,0-18,Male,Myntra,10000+,Laptop,Credit Card,Daily,20%,Electronics
